1000	6.7836100	5.855597	3.8209600	3.740638	14.07609	13.995275
2000	91.096100	46.128655	30.198478	29.925026	74.109215	74.408875
3000	359.368307	249.270561	102.006248	101.126823	262.784757	256.717371
4000	715.673761	466.029573	246.920079	241.757862	631.122442	628.374405
5000	1486.434948	918.47336	478.396343	475.59048	1231.1663	1234.616331
6000	2388.757348	1587.096018	824.617549	821.87503	2108.777256	2096.514357
7000	3968.54958	2536.147158	1312.012577	1305.472092	3518.96583	3535.91936
8000	5827.092835	3895.333019	1966.53686	1954.437572	5303.732733	5316.054548
9000	8173.473903	5392.379608	2794.244632	2776.669569	7616.687005	7565.385247
10000	10898.348744	7324.033409	3809.991245	3784.48653	9785.003355	9796.311456

